pathway_name	ligand	receptor	lr	old_tx_id.ligand	gene_id.ligand	old_tx_id.receptor	gene_id.receptor
BMP	BMP4	BMPR1B	BMP4:BMPR1B_ACVR2B	SMED30035462	SMESG000059595.1	SMED30008013	SMESG000074605.1
BMP	BMP4	BMPR1B	BMP4:BMPR1B_ACVR2B	SMED30035462	SMESG000059596.1	SMED30008013	SMESG000074605.1
BMP	BMP4	BMPR1B	BMP4:BMPR1B_ACVR2B	SMED30035462	SMESG000059598.1	SMED30008013	SMESG000074605.1
BMP	BMP4	BMPR1B	BMP4:BMPR1B_BMPR2	SMED30003409	SMESG000059596.1	SMED30008013	SMESG000074605.1
BMP	BMP4	BMPR1B	BMP4:BMPR1B_BMPR2	SMED30003409	SMESG000059598.1	SMED30008013	SMESG000074605.1
BMP	BMP4	BMPR1B	BMP4:BMPR1B_BMPR2	SMED30035462	SMESG000059595.1	SMED30008013	SMESG000074605.1
BMP	BMP4	BMPR1B	BMP4:BMPR1B_BMPR2	SMED30035462	SMESG000059596.1	SMED30008013	SMESG000074605.1
BMP	BMP4	BMPR1B	BMP4:BMPR1B_BMPR2	SMED30035462	SMESG000059598.1	SMED30008013	SMESG000074605.1
BMP	BMP7	ACVR1	BMP7:ACVR1_ACVR2A	SMED30014877	SMESG000013937.1	SMED30010098	SMESG000068827.1
BMP	BMP7	ACVR1	BMP7:ACVR1_ACVR2A	SMED30014877	SMESG000013937.1	SMED30027370	SMESG000019732.1
BMP	BMP7	ACVR1	BMP7:ACVR1_ACVR2A	SMED30017539	SMESG000059596.1	SMED30010098	SMESG000068827.1
BMP	BMP7	ACVR1	BMP7:ACVR1_ACVR2A	SMED30017539	SMESG000059596.1	SMED30027370	SMESG000019732.1
BMP	BMP7	ACVR1	BMP7:ACVR1_ACVR2A	SMED30017539	SMESG000059604.1	SMED30010098	SMESG000068827.1
BMP	BMP7	ACVR1	BMP7:ACVR1_ACVR2A	SMED30017539	SMESG000059604.1	SMED30027370	SMESG000019732.1
BMP	BMP7	ACVR2A	BMP7:ACVR1_ACVR2A	SMED30014877	SMESG000013937.1	SMED30012283	SMESG000070956.1
BMP	BMP7	ACVR2A	BMP7:ACVR1_ACVR2A	SMED30014877	SMESG000013937.1	SMED30025538	SMESG000060769.1
BMP	BMP7	ACVR2A	BMP7:ACVR1_ACVR2A	SMED30014877	SMESG000013937.1	SMED30035582	SMESG000025506.1
BMP	BMP7	ACVR2A	BMP7:ACVR1_ACVR2A	SMED30017539	SMESG000059596.1	SMED30012283	SMESG000070956.1
BMP	BMP7	ACVR2A	BMP7:ACVR1_ACVR2A	SMED30017539	SMESG000059596.1	SMED30025538	SMESG000060769.1
BMP	BMP7	ACVR2A	BMP7:ACVR1_ACVR2A	SMED30017539	SMESG000059596.1	SMED30035582	SMESG000025506.1
BMP	BMP7	ACVR2A	BMP7:ACVR1_ACVR2A	SMED30017539	SMESG000059604.1	SMED30012283	SMESG000070956.1
BMP	BMP7	ACVR2A	BMP7:ACVR1_ACVR2A	SMED30017539	SMESG000059604.1	SMED30025538	SMESG000060769.1
BMP	BMP7	ACVR2A	BMP7:ACVR1_ACVR2A	SMED30017539	SMESG000059604.1	SMED30035582	SMESG000025506.1
BMP	BMP7	ACVR1	BMP7:ACVR1_ACVR2B	SMED30014877	SMESG000013937.1	SMED30010098	SMESG000068827.1
BMP	BMP7	ACVR1	BMP7:ACVR1_ACVR2B	SMED30014877	SMESG000013937.1	SMED30027370	SMESG000019732.1
BMP	BMP7	ACVR1	BMP7:ACVR1_ACVR2B	SMED30017539	SMESG000059596.1	SMED30010098	SMESG000068827.1
BMP	BMP7	ACVR1	BMP7:ACVR1_ACVR2B	SMED30017539	SMESG000059596.1	SMED30027370	SMESG000019732.1
BMP	BMP7	ACVR1	BMP7:ACVR1_ACVR2B	SMED30017539	SMESG000059604.1	SMED30010098	SMESG000068827.1
BMP	BMP7	ACVR1	BMP7:ACVR1_ACVR2B	SMED30017539	SMESG000059604.1	SMED30027370	SMESG000019732.1
BMP	BMP7	ACVR1	BMP7:ACVR1_BMPR2	SMED30014877	SMESG000013937.1	SMED30010098	SMESG000068827.1
BMP	BMP7	ACVR1	BMP7:ACVR1_BMPR2	SMED30014877	SMESG000013937.1	SMED30027370	SMESG000019732.1
BMP	BMP7	ACVR1	BMP7:ACVR1_BMPR2	SMED30017539	SMESG000059596.1	SMED30010098	SMESG000068827.1
BMP	BMP7	ACVR1	BMP7:ACVR1_BMPR2	SMED30017539	SMESG000059596.1	SMED30027370	SMESG000019732.1
BMP	BMP7	ACVR1	BMP7:ACVR1_BMPR2	SMED30017539	SMESG000059604.1	SMED30010098	SMESG000068827.1
BMP	BMP7	ACVR1	BMP7:ACVR1_BMPR2	SMED30017539	SMESG000059604.1	SMED30027370	SMESG000019732.1
BMP	BMP7	ACVR2A	BMP7:BMPR1A_ACVR2A	SMED30014877	SMESG000013937.1	SMED30012283	SMESG000070956.1
BMP	BMP7	ACVR2A	BMP7:BMPR1A_ACVR2A	SMED30014877	SMESG000013937.1	SMED30025538	SMESG000060769.1
BMP	BMP7	ACVR2A	BMP7:BMPR1A_ACVR2A	SMED30014877	SMESG000013937.1	SMED30035582	SMESG000025506.1
BMP	BMP7	ACVR2A	BMP7:BMPR1A_ACVR2A	SMED30017539	SMESG000059596.1	SMED30012283	SMESG000070956.1
BMP	BMP7	ACVR2A	BMP7:BMPR1A_ACVR2A	SMED30017539	SMESG000059596.1	SMED30025538	SMESG000060769.1
BMP	BMP7	ACVR2A	BMP7:BMPR1A_ACVR2A	SMED30017539	SMESG000059596.1	SMED30035582	SMESG000025506.1
BMP	BMP7	ACVR2A	BMP7:BMPR1A_ACVR2A	SMED30017539	SMESG000059604.1	SMED30012283	SMESG000070956.1
BMP	BMP7	ACVR2A	BMP7:BMPR1A_ACVR2A	SMED30017539	SMESG000059604.1	SMED30025538	SMESG000060769.1
BMP	BMP7	ACVR2A	BMP7:BMPR1A_ACVR2A	SMED30017539	SMESG000059604.1	SMED30035582	SMESG000025506.1
BMP	BMP7	BMPR1B	BMP7:BMPR1B_ACVR2A	SMED30014877	SMESG000013937.1	SMED30008013	SMESG000074605.1
BMP	BMP7	BMPR1B	BMP7:BMPR1B_ACVR2A	SMED30017539	SMESG000059596.1	SMED30008013	SMESG000074605.1
BMP	BMP7	BMPR1B	BMP7:BMPR1B_ACVR2A	SMED30017539	SMESG000059604.1	SMED30008013	SMESG000074605.1
BMP	BMP7	ACVR2A	BMP7:BMPR1B_ACVR2A	SMED30014877	SMESG000013937.1	SMED30012283	SMESG000070956.1
BMP	BMP7	ACVR2A	BMP7:BMPR1B_ACVR2A	SMED30014877	SMESG000013937.1	SMED30025538	SMESG000060769.1
BMP	BMP7	ACVR2A	BMP7:BMPR1B_ACVR2A	SMED30014877	SMESG000013937.1	SMED30035582	SMESG000025506.1
BMP	BMP7	ACVR2A	BMP7:BMPR1B_ACVR2A	SMED30017539	SMESG000059596.1	SMED30012283	SMESG000070956.1
BMP	BMP7	ACVR2A	BMP7:BMPR1B_ACVR2A	SMED30017539	SMESG000059596.1	SMED30025538	SMESG000060769.1
BMP	BMP7	ACVR2A	BMP7:BMPR1B_ACVR2A	SMED30017539	SMESG000059596.1	SMED30035582	SMESG000025506.1
BMP	BMP7	ACVR2A	BMP7:BMPR1B_ACVR2A	SMED30017539	SMESG000059604.1	SMED30012283	SMESG000070956.1
BMP	BMP7	ACVR2A	BMP7:BMPR1B_ACVR2A	SMED30017539	SMESG000059604.1	SMED30025538	SMESG000060769.1
BMP	BMP7	ACVR2A	BMP7:BMPR1B_ACVR2A	SMED30017539	SMESG000059604.1	SMED30035582	SMESG000025506.1
BMP	BMP7	BMPR1B	BMP7:BMPR1B_ACVR2B	SMED30014877	SMESG000013937.1	SMED30008013	SMESG000074605.1
BMP	BMP7	BMPR1B	BMP7:BMPR1B_ACVR2B	SMED30017539	SMESG000059596.1	SMED30008013	SMESG000074605.1
BMP	BMP7	BMPR1B	BMP7:BMPR1B_ACVR2B	SMED30017539	SMESG000059604.1	SMED30008013	SMESG000074605.1
BMP	BMP7	BMPR1B	BMP7:BMPR1B_BMPR2	SMED30014877	SMESG000013937.1	SMED30008013	SMESG000074605.1
BMP	BMP7	BMPR1B	BMP7:BMPR1B_BMPR2	SMED30017539	SMESG000059596.1	SMED30008013	SMESG000074605.1
BMP	BMP7	BMPR1B	BMP7:BMPR1B_BMPR2	SMED30017539	SMESG000059604.1	SMED30008013	SMESG000074605.1
NODAL	GDF1	ACVR2A	GDF1:ACVR1B_ACVR2A_CFC1	SMED30035150	SMESG000057441.1	SMED30012283	SMESG000070956.1
NODAL	GDF1	ACVR2A	GDF1:ACVR1B_ACVR2A_CFC1	SMED30035150	SMESG000057441.1	SMED30025538	SMESG000060769.1
NODAL	GDF1	ACVR2A	GDF1:ACVR1B_ACVR2A_CFC1	SMED30035150	SMESG000057441.1	SMED30035582	SMESG000025506.1
NODAL	GDF1	ACVR2A	GDF1:ACVR1C_ACVR2A_CFC1	SMED30035150	SMESG000057441.1	SMED30012283	SMESG000070956.1
NODAL	GDF1	ACVR2A	GDF1:ACVR1C_ACVR2A_CFC1	SMED30035150	SMESG000057441.1	SMED30025538	SMESG000060769.1
NODAL	GDF1	ACVR2A	GDF1:ACVR1C_ACVR2A_CFC1	SMED30035150	SMESG000057441.1	SMED30035582	SMESG000025506.1
ACTIVIN	INHBA	ACVR2A	INHBA:ACVR1B_ACVR2A	SMED30031091	SMESG000024831.1	SMED30012283	SMESG000070956.1
ACTIVIN	INHBA	ACVR2A	INHBA:ACVR1B_ACVR2A	SMED30031091	SMESG000024831.1	SMED30025538	SMESG000060769.1
ACTIVIN	INHBA	ACVR2A	INHBA:ACVR1B_ACVR2A	SMED30031091	SMESG000024831.1	SMED30035582	SMESG000025506.1
ACTIVIN	INHBA	ACVR2A	INHBA:ACVR1B_ACVR2A	SMED30031091	SMESG000024833.1	SMED30012283	SMESG000070956.1
ACTIVIN	INHBA	ACVR2A	INHBA:ACVR1B_ACVR2A	SMED30031091	SMESG000024833.1	SMED30025538	SMESG000060769.1
ACTIVIN	INHBA	ACVR2A	INHBA:ACVR1B_ACVR2A	SMED30031091	SMESG000024833.1	SMED30035582	SMESG000025506.1
ACTIVIN	INHBE	ACVR2A	INHBE:ACVR1B_ACVR2A	SMED30035469	SMESG000078459.1	SMED30012283	SMESG000070956.1
ACTIVIN	INHBE	ACVR2A	INHBE:ACVR1B_ACVR2A	SMED30035469	SMESG000078459.1	SMED30025538	SMESG000060769.1
ACTIVIN	INHBE	ACVR2A	INHBE:ACVR1B_ACVR2A	SMED30035469	SMESG000078459.1	SMED30035582	SMESG000025506.1
ACTIVIN	INHBE	ACVR2A	INHBE:ACVR1C_ACVR2A	SMED30035469	SMESG000078459.1	SMED30012283	SMESG000070956.1
ACTIVIN	INHBE	ACVR2A	INHBE:ACVR1C_ACVR2A	SMED30035469	SMESG000078459.1	SMED30025538	SMESG000060769.1
ACTIVIN	INHBE	ACVR2A	INHBE:ACVR1C_ACVR2A	SMED30035469	SMESG000078459.1	SMED30035582	SMESG000025506.1
WNT	WNT16	FZD1	WNT16:FZD1_LRP5	SMED30008884	SMESG000024191.1	SMED30025215	SMESG000040115.1
WNT	WNT16	FZD1	WNT16:FZD1_LRP5	SMED30031321	SMESG000049719.1	SMED30025215	SMESG000040115.1
WNT	WNT16	LRP5	WNT16:FZD1_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD1_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010476.1
WNT	WNT16	LRP5	WNT16:FZD1_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD1_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010476.1
WNT	WNT16	FZD10	WNT16:FZD10_LRP5	SMED30008884	SMESG000024191.1	SMED30006583	SMESG000004519.1
WNT	WNT16	FZD10	WNT16:FZD10_LRP5	SMED30008884	SMESG000024191.1	SMED30024996	SMESG000038967.1
WNT	WNT16	FZD10	WNT16:FZD10_LRP5	SMED30031321	SMESG000049719.1	SMED30006583	SMESG000004519.1
WNT	WNT16	FZD10	WNT16:FZD10_LRP5	SMED30031321	SMESG000049719.1	SMED30024996	SMESG000038967.1
WNT	WNT16	LRP5	WNT16:FZD10_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD10_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010476.1
WNT	WNT16	LRP5	WNT16:FZD10_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD10_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010476.1
WNT	WNT16	LRP5	WNT16:FZD2_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD2_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010476.1
WNT	WNT16	LRP5	WNT16:FZD2_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD2_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010476.1
WNT	WNT16	LRP5	WNT16:FZD3_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD3_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010476.1
WNT	WNT16	LRP5	WNT16:FZD3_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD3_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010476.1
WNT	WNT16	FZD4	WNT16:FZD4_LRP5	SMED30008884	SMESG000024191.1	SMED30023158	SMESG000037981.1
WNT	WNT16	FZD4	WNT16:FZD4_LRP5	SMED30008884	SMESG000024191.1	SMED30023158	SMESG000037982.1
WNT	WNT16	FZD4	WNT16:FZD4_LRP5	SMED30031321	SMESG000049719.1	SMED30023158	SMESG000037981.1
WNT	WNT16	FZD4	WNT16:FZD4_LRP5	SMED30031321	SMESG000049719.1	SMED30023158	SMESG000037982.1
WNT	WNT16	LRP5	WNT16:FZD4_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD4_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010476.1
WNT	WNT16	LRP5	WNT16:FZD4_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD4_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010476.1
WNT	WNT16	FZD5	WNT16:FZD5_LRP5	SMED30008884	SMESG000024191.1	SMED30020953	SMESG000031852.1
WNT	WNT16	FZD5	WNT16:FZD5_LRP5	SMED30031321	SMESG000049719.1	SMED30020953	SMESG000031852.1
WNT	WNT16	LRP5	WNT16:FZD5_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD5_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010476.1
WNT	WNT16	LRP5	WNT16:FZD5_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD5_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010476.1
WNT	WNT16	LRP5	WNT16:FZD6_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD6_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010476.1
WNT	WNT16	LRP5	WNT16:FZD6_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD6_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010476.1
WNT	WNT16	LRP5	WNT16:FZD7_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD7_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010476.1
WNT	WNT16	LRP5	WNT16:FZD7_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD7_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010476.1
WNT	WNT16	FZD8	WNT16:FZD8_LRP5	SMED30008884	SMESG000024191.1	SMED30016952	SMESG000005043.1
WNT	WNT16	FZD8	WNT16:FZD8_LRP5	SMED30008884	SMESG000024191.1	SMED30017913	SMESG000035834.1
WNT	WNT16	FZD8	WNT16:FZD8_LRP5	SMED30008884	SMESG000024191.1	SMED30025972	SMESG000053774.1
WNT	WNT16	FZD8	WNT16:FZD8_LRP5	SMED30008884	SMESG000024191.1	SMED30031962	SMESG000053774.1
WNT	WNT16	FZD8	WNT16:FZD8_LRP5	SMED30031321	SMESG000049719.1	SMED30016952	SMESG000005043.1
WNT	WNT16	FZD8	WNT16:FZD8_LRP5	SMED30031321	SMESG000049719.1	SMED30017913	SMESG000035834.1
WNT	WNT16	FZD8	WNT16:FZD8_LRP5	SMED30031321	SMESG000049719.1	SMED30025972	SMESG000053774.1
WNT	WNT16	FZD8	WNT16:FZD8_LRP5	SMED30031321	SMESG000049719.1	SMED30031962	SMESG000053774.1
WNT	WNT16	LRP5	WNT16:FZD8_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD8_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010476.1
WNT	WNT16	LRP5	WNT16:FZD8_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD8_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010476.1
WNT	WNT16	FZD9	WNT16:FZD9_LRP5	SMED30008884	SMESG000024191.1	SMED30010183	SMESG000014322.1
WNT	WNT16	FZD9	WNT16:FZD9_LRP5	SMED30031321	SMESG000049719.1	SMED30010183	SMESG000014322.1
WNT	WNT16	LRP5	WNT16:FZD9_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD9_LRP5	SMED30008884	SMESG000024191.1	SMED30019756	SMESG000010476.1
WNT	WNT16	LRP5	WNT16:FZD9_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010458.1
WNT	WNT16	LRP5	WNT16:FZD9_LRP5	SMED30031321	SMESG000049719.1	SMED30019756	SMESG000010476.1
WNT	WNT2	FZD1	WNT2:FZD1_LRP5	SMED30026602	SMESG000002069.1	SMED30025215	SMESG000040115.1
WNT	WNT2	LRP5	WNT2:FZD1_LRP5	SMED30026602	SMESG000002069.1	SMED30019756	SMESG000010458.1
WNT	WNT2	LRP5	WNT2:FZD1_LRP5	SMED30026602	SMESG000002069.1	SMED30019756	SMESG000010476.1
WNT	WNT2	FZD10	WNT2:FZD10_LRP5	SMED30026602	SMESG000002069.1	SMED30006583	SMESG000004519.1
WNT	WNT2	FZD10	WNT2:FZD10_LRP5	SMED30026602	SMESG000002069.1	SMED30024996	SMESG000038967.1
WNT	WNT2	LRP5	WNT2:FZD10_LRP5	SMED30026602	SMESG000002069.1	SMED30019756	SMESG000010458.1
WNT	WNT2	LRP5	WNT2:FZD10_LRP5	SMED30026602	SMESG000002069.1	SMED30019756	SMESG000010476.1
WNT	WNT2	LRP5	WNT2:FZD2_LRP5	SMED30026602	SMESG000002069.1	SMED30019756	SMESG000010458.1
WNT	WNT2	LRP5	WNT2:FZD2_LRP5	SMED30026602	SMESG000002069.1	SMED30019756	SMESG000010476.1
WNT	WNT2	LRP5	WNT2:FZD3_LRP5	SMED30026602	SMESG000002069.1	SMED30019756	SMESG000010458.1
WNT	WNT2	LRP5	WNT2:FZD3_LRP5	SMED30026602	SMESG000002069.1	SMED30019756	SMESG000010476.1
WNT	WNT2	FZD4	WNT2:FZD4_LRP5	SMED30026602	SMESG000002069.1	SMED30023158	SMESG000037981.1
WNT	WNT2	FZD4	WNT2:FZD4_LRP5	SMED30026602	SMESG000002069.1	SMED30023158	SMESG000037982.1
WNT	WNT2	LRP5	WNT2:FZD4_LRP5	SMED30026602	SMESG000002069.1	SMED30019756	SMESG000010458.1
WNT	WNT2	LRP5	WNT2:FZD4_LRP5	SMED30026602	SMESG000002069.1	SMED30019756	SMESG000010476.1
WNT	WNT2	FZD5	WNT2:FZD5_LRP5	SMED30026602	SMESG000002069.1	SMED30020953	SMESG000031852.1
WNT	WNT2	LRP5	WNT2:FZD5_LRP5	SMED30026602	SMESG000002069.1	SMED30019756	SMESG000010458.1
WNT	WNT2	LRP5	WNT2:FZD5_LRP5	SMED30026602	SMESG000002069.1	SMED30019756	SMESG000010476.1
WNT	WNT2	LRP5	WNT2:FZD6_LRP5	SMED30026602	SMESG000002069.1	SMED30019756	SMESG000010458.1
WNT	WNT2	LRP5	WNT2:FZD6_LRP5	SMED30026602	SMESG000002069.1	SMED30019756	SMESG000010476.1
WNT	WNT2	LRP5	WNT2:FZD7_LRP5	SMED30026602	SMESG000002069.1	SMED30019756	SMESG000010458.1
WNT	WNT2	LRP5	WNT2:FZD7_LRP5	SMED30026602	SMESG000002069.1	SMED30019756	SMESG000010476.1
WNT	WNT2	FZD8	WNT2:FZD8_LRP5	SMED30026602	SMESG000002069.1	SMED30016952	SMESG000005043.1
WNT	WNT2	FZD8	WNT2:FZD8_LRP5	SMED30026602	SMESG000002069.1	SMED30017913	SMESG000035834.1
WNT	WNT2	FZD8	WNT2:FZD8_LRP5	SMED30026602	SMESG000002069.1	SMED30025972	SMESG000053774.1
WNT	WNT2	FZD8	WNT2:FZD8_LRP5	SMED30026602	SMESG000002069.1	SMED30031962	SMESG000053774.1
WNT	WNT2	LRP5	WNT2:FZD8_LRP5	SMED30026602	SMESG000002069.1	SMED30019756	SMESG000010458.1
WNT	WNT2	LRP5	WNT2:FZD8_LRP5	SMED30026602	SMESG000002069.1	SMED30019756	SMESG000010476.1
WNT	WNT2	FZD9	WNT2:FZD9_LRP5	SMED30026602	SMESG000002069.1	SMED30010183	SMESG000014322.1
